date,week,name
01/01/01,segunda-feira,Confraternização Universal
26/02/01,segunda-feira,Carnaval
27/02/01,terça-feira,Carnaval
13/04/01,sexta-feira,Paixão de Cristo
21/04/01,sábado,Tiradentes
01/05/01,terça-feira,Dia do Trabalho
14/06/01,quinta-feira,Corpus Christi
07/09/01,sexta-feira,Independência do Brasil
12/10/01,sexta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/01,sexta-feira,Finados
15/11/01,quinta-feira,Proclamação da República
25/12/01,terça-feira,Natal
01/01/02,terça-feira,Confraternização Universal
11/02/02,segunda-feira,Carnaval
12/02/02,terça-feira,Carnaval
29/03/02,sexta-feira,Paixão de Cristo
21/04/02,domingo,Tiradentes
01/05/02,quarta-feira,Dia do Trabalho
30/05/02,quinta-feira,Corpus Christi
07/09/02,sábado,Independência do Brasil
12/10/02,sábado,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/02,sábado,Finados
15/11/02,sexta-feira,Proclamação da República
25/12/02,quarta-feira,Natal
01/01/03,quarta-feira,Confraternização Universal
03/03/03,segunda-feira,Carnaval
04/03/03,terça-feira,Carnaval
18/04/03,sexta-feira,Paixão de Cristo
21/04/03,segunda-feira,Tiradentes
01/05/03,quinta-feira,Dia do Trabalho
19/06/03,quinta-feira,Corpus Christi
07/09/03,domingo,Independência do Brasil
12/10/03,domingo,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/03,domingo,Finados
15/11/03,sábado,Proclamação da República
25/12/03,quinta-feira,Natal
01/01/04,quinta-feira,Confraternização Universal
23/02/04,segunda-feira,Carnaval
24/02/04,terça-feira,Carnaval
09/04/04,sexta-feira,Paixão de Cristo
21/04/04,quarta-feira,Tiradentes
01/05/04,sábado,Dia do Trabalho
10/06/04,quinta-feira,Corpus Christi
07/09/04,terça-feira,Independência do Brasil
12/10/04,terça-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/04,terça-feira,Finados
15/11/04,segunda-feira,Proclamação da República
25/12/04,sábado,Natal
01/01/05,sábado,Confraternização Universal
07/02/05,segunda-feira,Carnaval
08/02/05,terça-feira,Carnaval
25/03/05,sexta-feira,Paixão de Cristo
21/04/05,quinta-feira,Tiradentes
01/05/05,domingo,Dia do Trabalho
26/05/05,quinta-feira,Corpus Christi
07/09/05,quarta-feira,Independência do Brasil
12/10/05,quarta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/05,quarta-feira,Finados
15/11/05,terça-feira,Proclamação da República
25/12/05,domingo,Natal
01/01/06,domingo,Confraternização Universal
27/02/06,segunda-feira,Carnaval
28/02/06,terça-feira,Carnaval
14/04/06,sexta-feira,Paixão de Cristo
21/04/06,sexta-feira,Tiradentes
01/05/06,segunda-feira,Dia do Trabalho
15/06/06,quinta-feira,Corpus Christi
07/09/06,quinta-feira,Independência do Brasil
12/10/06,quinta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/06,quinta-feira,Finados
15/11/06,quarta-feira,Proclamação da República
25/12/06,segunda-feira,Natal
01/01/07,segunda-feira,Confraternização Universal
19/02/07,segunda-feira,Carnaval
20/02/07,terça-feira,Carnaval
06/04/07,sexta-feira,Paixão de Cristo
21/04/07,sábado,Tiradentes
01/05/07,terça-feira,Dia do Trabalho
07/06/07,quinta-feira,Corpus Christi
07/09/07,sexta-feira,Independência do Brasil
12/10/07,sexta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/07,sexta-feira,Finados
15/11/07,quinta-feira,Proclamação da República
25/12/07,terça-feira,Natal
01/01/08,terça-feira,Confraternização Universal
04/02/08,segunda-feira,Carnaval
05/02/08,terça-feira,Carnaval
21/03/08,sexta-feira,Paixão de Cristo
21/04/08,segunda-feira,Tiradentes
01/05/08,quinta-feira,Dia do Trabalho
22/05/08,quinta-feira,Corpus Christi
07/09/08,domingo,Independência do Brasil
12/10/08,domingo,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/08,domingo,Finados
15/11/08,sábado,Proclamação da República
25/12/08,quinta-feira,Natal
01/01/09,quinta-feira,Confraternização Universal
23/02/09,segunda-feira,Carnaval
24/02/09,terça-feira,Carnaval
10/04/09,sexta-feira,Paixão de Cristo
21/04/09,terça-feira,Tiradentes
01/05/09,sexta-feira,Dia do Trabalho
11/06/09,quinta-feira,Corpus Christi
07/09/09,segunda-feira,Independência do Brasil
12/10/09,segunda-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/09,segunda-feira,Finados
15/11/09,domingo,Proclamação da República
25/12/09,sexta-feira,Natal
01/01/10,sexta-feira,Confraternização Universal
15/02/10,segunda-feira,Carnaval
16/02/10,terça-feira,Carnaval
02/04/10,sexta-feira,Paixão de Cristo
21/04/10,quarta-feira,Tiradentes
01/05/10,sábado,Dia do Trabalho
03/06/10,quinta-feira,Corpus Christi
07/09/10,terça-feira,Independência do Brasil
12/10/10,terça-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/10,terça-feira,Finados
15/11/10,segunda-feira,Proclamação da República
25/12/10,sábado,Natal
01/01/11,sábado,Confraternização Universal
07/03/11,segunda-feira,Carnaval
08/03/11,terça-feira,Carnaval
21/04/11,quinta-feira,Tiradentes
22/04/11,sexta-feira,Paixão de Cristo
01/05/11,domingo,Dia do Trabalho
23/06/11,quinta-feira,Corpus Christi
07/09/11,quarta-feira,Independência do Brasil
12/10/11,quarta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/11,quarta-feira,Finados
15/11/11,terça-feira,Proclamação da República
25/12/11,domingo,Natal
01/01/12,domingo,Confraternização Universal
20/02/12,segunda-feira,Carnaval
21/02/12,terça-feira,Carnaval
06/04/12,sexta-feira,Paixão de Cristo
21/04/12,sábado,Tiradentes
01/05/12,terça-feira,Dia do Trabalho
07/06/12,quinta-feira,Corpus Christi
07/09/12,sexta-feira,Independência do Brasil
12/10/12,sexta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/12,sexta-feira,Finados
15/11/12,quinta-feira,Proclamação da República
25/12/12,terça-feira,Natal
01/01/13,terça-feira,Confraternização Universal
11/02/13,segunda-feira,Carnaval
12/02/13,terça-feira,Carnaval
29/03/13,sexta-feira,Paixão de Cristo
21/04/13,domingo,Tiradentes
01/05/13,quarta-feira,Dia do Trabalho
30/05/13,quinta-feira,Corpus Christi
07/09/13,sábado,Independência do Brasil
12/10/13,sábado,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/13,sábado,Finados
15/11/13,sexta-feira,Proclamação da República
25/12/13,quarta-feira,Natal
01/01/14,quarta-feira,Confraternização Universal
03/03/14,segunda-feira,Carnaval
04/03/14,terça-feira,Carnaval
18/04/14,sexta-feira,Paixão de Cristo
21/04/14,segunda-feira,Tiradentes
01/05/14,quinta-feira,Dia do Trabalho
19/06/14,quinta-feira,Corpus Christi
07/09/14,domingo,Independência do Brasil
12/10/14,domingo,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/14,domingo,Finados
15/11/14,sábado,Proclamação da República
25/12/14,quinta-feira,Natal
01/01/15,quinta-feira,Confraternização Universal
16/02/15,segunda-feira,Carnaval
17/02/15,terça-feira,Carnaval
03/04/15,sexta-feira,Paixão de Cristo
21/04/15,terça-feira,Tiradentes
01/05/15,sexta-feira,Dia do Trabalho
04/06/15,quinta-feira,Corpus Christi
07/09/15,segunda-feira,Independência do Brasil
12/10/15,segunda-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/15,segunda-feira,Finados
15/11/15,domingo,Proclamação da República
25/12/15,sexta-feira,Natal
01/01/16,sexta-feira,Confraternização Universal
08/02/16,segunda-feira,Carnaval
09/02/16,terça-feira,Carnaval
25/03/16,sexta-feira,Paixão de Cristo
21/04/16,quinta-feira,Tiradentes
01/05/16,domingo,Dia do Trabalho
26/05/16,quinta-feira,Corpus Christi
07/09/16,quarta-feira,Independência do Brasil
12/10/16,quarta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/16,quarta-feira,Finados
15/11/16,terça-feira,Proclamação da República
25/12/16,domingo,Natal
01/01/17,domingo,Confraternização Universal
27/02/17,segunda-feira,Carnaval
28/02/17,terça-feira,Carnaval
14/04/17,sexta-feira,Paixão de Cristo
21/04/17,sexta-feira,Tiradentes
01/05/17,segunda-feira,Dia do Trabalho
15/06/17,quinta-feira,Corpus Christi
07/09/17,quinta-feira,Independência do Brasil
12/10/17,quinta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/17,quinta-feira,Finados
15/11/17,quarta-feira,Proclamação da República
25/12/17,segunda-feira,Natal
01/01/18,segunda-feira,Confraternização Universal
12/02/18,segunda-feira,Carnaval
13/02/18,terça-feira,Carnaval
30/03/18,sexta-feira,Paixão de Cristo
21/04/18,sábado,Tiradentes
01/05/18,terça-feira,Dia do Trabalho
31/05/18,quinta-feira,Corpus Christi
07/09/18,sexta-feira,Independência do Brasil
12/10/18,sexta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/18,sexta-feira,Finados
15/11/18,quinta-feira,Proclamação da República
25/12/18,terça-feira,Natal
01/01/19,terça-feira,Confraternização Universal
04/03/19,segunda-feira,Carnaval
05/03/19,terça-feira,Carnaval
19/04/19,sexta-feira,Paixão de Cristo
21/04/19,domingo,Tiradentes
01/05/19,quarta-feira,Dia do Trabalho
20/06/19,quinta-feira,Corpus Christi
07/09/19,sábado,Independência do Brasil
12/10/19,sábado,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/19,sábado,Finados
15/11/19,sexta-feira,Proclamação da República
25/12/19,quarta-feira,Natal
01/01/20,quarta-feira,Confraternização Universal
24/02/20,segunda-feira,Carnaval
25/02/20,terça-feira,Carnaval
10/04/20,sexta-feira,Paixão de Cristo
21/04/20,terça-feira,Tiradentes
01/05/20,sexta-feira,Dia do Trabalho
11/06/20,quinta-feira,Corpus Christi
07/09/20,segunda-feira,Independência do Brasil
12/10/20,segunda-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/20,segunda-feira,Finados
15/11/20,domingo,Proclamação da República
25/12/20,sexta-feira,Natal
01/01/21,sexta-feira,Confraternização Universal
15/02/21,segunda-feira,Carnaval
16/02/21,terça-feira,Carnaval
02/04/21,sexta-feira,Paixão de Cristo
21/04/21,quarta-feira,Tiradentes
01/05/21,sábado,Dia do Trabalho
03/06/21,quinta-feira,Corpus Christi
07/09/21,terça-feira,Independência do Brasil
